_application fan
_version 2.2
_type SymmetricFan

AMBIENT_DIM
35

DIM
13

LINEALITY_DIM
7

RAYS
1 0 1 0 0 1 0 0 -1 0 1 -8 1 1 0 1 1 0 1 0 0 1 0 0 -1 0 0 -1 0 -1 1 0 1 0 0	# 28
1 0 1 0 1 -8 1 1 0 1 0 1 0 0 -1 0 1 0 1 0 0 1 0 0 -1 0 1 0 1 0 0 -1 0 -1 0	# 29
1 1 -8 1 0 1 0 1 0 1 0 1 0 1 0 1 0 -1 0 0 0 1 0 1 0 1 0 -1 0 0 0 -1 0 0 -1	# 30
1 1 0 0 -8 1 1 1 1 0 1 0 0 0 0 -1 1 1 0 0 1 0 0 0 0 -1 1 1 0 0 0 0 -1 -1 0	# 31
1 1 0 0 1 0 0 0 0 -1 -8 1 1 1 1 0 1 1 0 0 1 0 0 0 0 -1 0 0 -1 -1 1 1 0 0 0	# 32
1 1 0 0 1 0 0 0 0 -1 1 0 0 0 0 -1 0 0 -1 -1 -8 1 1 1 1 0 1 1 0 0 1 1 0 0 0	# 33
1 1 1 -8 0 0 1 0 1 1 0 0 1 0 1 1 -1 0 0 0 0 0 1 0 1 1 -1 0 0 0 -1 0 0 0 -1	# 34
-2 -2 1 1 -2 1 1 1 1 -1 -2 1 1 1 1 -1 1 1 -1 -1 -2 1 1 1 1 -1 1 1 -1 -1 1 1 -1 -1 -1	# 35
-2 1 -2 1 1 -2 1 1 -1 1 1 -2 1 1 -1 1 1 -1 1 -1 1 -2 1 1 -1 1 1 -1 1 -1 1 -1 1 -1 -1	# 36
-2 1 1 -2 1 1 -2 -1 1 1 1 1 -2 -1 1 1 -1 1 1 -1 1 1 -2 -1 1 1 -1 1 1 -1 -1 1 1 -1 -1	# 37
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -2 -2 -2 -2 -2	# 38
-1 -1 -1 -1 1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 -2 -2 -2 -2 1 1 1 1 -2	# 39
-1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 -2 -2 -2 -2 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 -2	# 40
-1 1 1 1 -1 -1 -1 1 1 1 -1 -1 -1 1 1 1 -1 -1 -1 1 1 1 1 -2 -2 -2 1 1 1 -2 1 1 1 -2 1	# 41
-1 1 1 1 -1 -1 -1 1 1 1 1 1 1 -2 -2 -2 1 1 1 -2 -1 -1 -1 1 1 1 -1 -1 -1 1 1 1 1 -2 1	# 42
-1 1 1 1 1 1 1 -2 -2 -2 -1 -1 -1 1 1 1 1 1 1 -2 -1 -1 -1 1 1 1 1 1 1 -2 -1 -1 -1 1 1	# 43
1 -2 -2 1 1 1 -1 -2 1 1 1 1 -1 -2 1 1 1 -1 -1 1 1 1 -1 -2 1 1 1 -1 -1 1 1 -1 -1 1 -1	# 44
1 -2 1 -2 1 -1 1 1 -2 1 1 -1 1 1 -2 1 -1 1 -1 1 1 -1 1 1 -2 1 -1 1 -1 1 -1 1 -1 1 -1	# 45
1 -1 1 1 -1 1 1 -1 -1 1 -1 1 1 -1 -1 1 -1 -1 1 -1 1 -2 -2 1 1 -2 1 1 -2 1 1 1 -2 1 1	# 46
1 -1 1 1 -1 1 1 -1 -1 1 1 -2 -2 1 1 -2 1 1 -2 1 -1 1 1 -1 -1 1 -1 -1 1 -1 1 1 -2 1 1	# 47
1 -1 1 1 1 -2 -2 1 1 -2 -1 1 1 -1 -1 1 1 1 -2 1 -1 1 1 -1 -1 1 1 1 -2 1 -1 -1 1 -1 1	# 48
1 1 -2 -2 -1 1 1 1 1 -2 -1 1 1 1 1 -2 -1 -1 1 1 -1 1 1 1 1 -2 -1 -1 1 1 -1 -1 1 1 -1	# 49
1 1 -1 1 -2 1 -2 1 -2 1 1 -1 1 -1 1 -1 1 -2 1 1 1 -1 1 -1 1 -1 1 -2 1 1 -1 1 -1 -1 1	# 50
1 1 -1 1 1 -1 1 -1 1 -1 -2 1 -2 1 -2 1 1 -2 1 1 1 -1 1 -1 1 -1 -1 1 -1 -1 1 -2 1 1 1	# 51
1 1 -1 1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 -1 1 -1 -1 -2 1 -2 1 -2 1 1 -2 1 1 1 -2 1 1 1	# 52
1 1 1 -1 -2 -2 1 -2 1 1 1 1 -1 1 -1 -1 -2 1 1 1 1 1 -1 1 -1 -1 -2 1 1 1 1 -1 -1 -1 1	# 53
1 1 1 -1 1 1 -1 1 -1 -1 -2 -2 1 -2 1 1 -2 1 1 1 1 1 -1 1 -1 -1 1 -1 -1 -1 -2 1 1 1 1	# 54
1 1 1 -1 1 1 -1 1 -1 -1 1 1 -1 1 -1 -1 1 -1 -1 -1 -2 -2 1 -2 1 1 -2 1 1 1 -2 1 1 1 1	# 55
-3 -3 -1 -1 -1 1 1 1 1 -2 0 2 2 2 2 -1 -1 -1 1 1 0 2 2 2 2 -1 -1 -1 1 1 0 0 -3 -3 -1	# 56
-3 -3 -1 -1 0 2 2 2 2 -1 -1 1 1 1 1 -2 -1 -1 1 1 0 2 2 2 2 -1 0 0 -3 -3 -1 -1 1 1 -1	# 57
